"","totals","taxonomy"
"UNI74",163299,"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;uncultured bacterium"
"UNI108",135664,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus;Aeribacillus pallidus"
"UNI79",134026,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. 2015"
"UNI139",132630,"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;uncultured bacterium"
"UNI272",128849,"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;uncultured bacterium"
"UNI170",108656,"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus sp. TN104"
"UNI23",95479,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pogona vitticeps (central bearded dragon)"
"UNI462",90805,"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;uncultured bacterium"
"UNI91",82542,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter cerevisiae"
"UNI492",79422,"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;Corynebacterium tuberculostearicum SK141"
"UNI277",78365,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus;Aeribacillus pallidus"
"UNI239",77331,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. 2015"
"UNI308",69674,"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;uncultured;uncultured bacterium"
"UNI337",61860,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus;Aeribacillus pallidus"
"UNI287",60696,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. 2015"
"UNI564",59640,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured bacterium"
"UNI63",58387,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pogona vitticeps (central bearded dragon)"
"UNI486",58279,"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;uncultured;uncultured bacterium"
"UNI77",53027,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;uncultured Pseudomonas sp."
